,Date:,19/06/2017,,,,
,Time:,15:20:06,,,,
,Age:,1,,,,
,Sex:,2,,,,
,Handed:,3,,,,
,,,,,,
,Single Finger JND Test Results,,,,,
,,,,,,
,Refference value:,Test 1,Test 2,Test 3,Average Delta,"Delta Varience "
,100,99,99,99,1.0,0.0
,80,79,79,79,1.0,0.0
,60,59,59,59,1.0,0.0
,40,39,39,39,1.0,0.0
,20,19,19,19,1.0,0.0
,,,,,,
,Single Finger JND Tester Results,,,,,
,,,,,,
,A,B,?,Answer,Score,
,1,60,60,60,,
,1,40,40,40,,
,1,100,100,100,,
,1,20,1,1,,
,1,80,1,1,,
,1,20,20,20,,
,1,60,1,1,,
,1,80,80,80,,
,1,40,1,40,,
,1,100,1,1,,
,Result:,9,,,,
,Out of 10,,,,,
